County,2018,2019,2020,2021,2022,2023,2024
Barrow,38,37,51,44,54,73,96
Bartow,63,114,113,116,102,109,170
Bibb,98,131,162,177,182,163,181
Bulloch,35,46,49,56,47,44,78
Camden,63,98,80,85,99,58,260
Carroll,95,188,143,123,190,168,186
Catoosa,17,39,32,27,31,39,623
Chatham,257,423,394,410,398,394,805
Cherokee,133,364,426,685,363,238,380
Clarke,82,70,56,58,51,67,85
Clayton,334,808,755,462,562,565,842
Cobb,446,719,741,655,633,745,"1,089"
Columbia,39,61,70,47,77,69,258
Coweta,59,98,72,66,59,81,123
DeKalb,599,"1,202","1,253",925,896,"1,251","1,449"
Dougherty,97,115,92,107,107,106,115
Douglas,136,205,178,163,176,196,219
Effingham,42,54,64,56,49,46,135
Fayette,22,54,50,49,34,63,77
Floyd,93,115,126,121,119,141,154
Forsyth,62,71,80,96,80,100,147
Fulton,634,"1,373","1,218","1,000","1,055","1,306","1,542"
Glynn,33,358,354,378,153,91,95
Gordon,46,76,67,51,67,151,111
Gwinnett,405,862,980,775,626,"1,183","1,334"
Hall,100,210,217,222,228,267,382
Henry,118,317,253,207,244,287,513
Houston,83,117,102,138,163,139,196
Jackson,33,30,24,40,33,41,68
Liberty,60,125,112,92,126,95,150
Lowndes,132,166,157,184,171,177,239
Muscogee,151,175,198,151,177,177,249
Newton,71,86,89,81,81,101,153
Paulding,110,113,145,138,154,130,199
Richmond,126,188,227,189,165,182,577
Rockdale,75,90,102,84,102,101,134
Spalding,49,97,75,79,69,54,99
Troup,73,94,54,38,114,99,146
Walker,41,36,33,31,36,50,670
Walton,59,64,57,39,53,65,75
Whitfield,97,111,136,119,144,171,316
