County,2018,2019,2020,2021,2022,2023,2024
Appling,10,16,23,25,15,16,26
Atkinson,5,9,8,5,7,9,11
Bacon,11,6,11,13,8,7,28
Baker,2,2,4,8,4,4,4
Baldwin,20,34,42,20,32,49,53
Banks,9,12,5,7,11,9,18
Ben Hill,7,21,21,13,26,11,19
Berrien,12,14,15,11,12,26,29
Bleckley,7,6,13,9,10,6,12
Brantley,7,56,71,63,27,21,17
Brooks,10,23,26,21,20,18,36
Bryan,31,44,45,35,32,33,71
Burke,9,19,18,14,21,17,47
Butts,12,21,20,11,20,16,35
Calhoun,6,8,6,5,7,4,10
Candler,9,9,6,11,9,7,12
Charlton,7,19,15,11,14,12,35
Chattahoochee,9,7,4,2,9,5,15
Chattooga,30,32,22,36,32,36,79
Clay,2,4,2,2,2,5,8
Clinch,6,9,11,9,4,9,7
Coffee,34,29,34,31,38,33,30
Colquitt,43,89,93,97,68,119,114
Cook,12,19,24,18,22,23,33
Crawford,1,6,9,4,9,7,8
Crisp,19,17,9,10,16,18,15
Dade,1,3,6,10,15,14,123
Dawson,6,9,9,12,5,13,24
Decatur,19,20,28,18,30,25,74
Dodge,12,14,13,17,17,10,13
Dooly,11,7,9,4,9,10,12
Early,11,15,13,23,19,31,36
Echols,6,12,16,11,18,9,14
Elbert,12,21,10,5,14,17,16
Emanuel,6,17,19,14,19,27,23
Evans,5,8,19,7,16,16,21
Fannin,10,13,11,23,8,8,9
Franklin,16,20,16,16,11,22,28
Gilmer,34,67,69,93,67,44,55
Glascock,1,0,2,1,0,0,4
Grady,36,56,31,34,45,45,89
Greene,13,12,12,16,16,3,13
Habersham,33,35,38,43,34,45,52
Hancock,6,10,11,4,4,7,13
Haralson,19,34,25,36,38,23,42
Harris,9,7,11,9,14,8,34
Hart,17,24,18,18,17,18,54
Heard,3,16,7,12,7,16,9
Irwin,4,6,3,6,3,11,5
Jasper,6,9,4,12,13,12,10
Jeff Davis,10,12,11,9,10,10,16
Jefferson,7,9,12,5,8,9,36
Jenkins,5,11,6,6,11,6,12
Johnson,3,4,6,8,7,14,8
Jones,8,9,8,13,11,15,19
Lamar,7,13,6,8,13,13,18
Lanier,9,17,15,15,13,21,20
Laurens,18,18,33,29,57,47,48
Lee,7,23,15,24,17,23,38
Lincoln,2,1,8,4,7,3,16
Long,24,22,15,30,29,26,48
Lumpkin,5,11,12,10,16,7,15
McDuffie,3,14,12,13,11,10,55
McIntosh,2,36,37,32,17,8,10
Macon,6,16,21,14,11,12,11
Madison,13,15,14,16,12,20,27
Marion,5,8,0,3,6,9,13
Meriwether,12,21,14,15,24,13,21
Miller,8,7,3,3,11,8,19
Mitchell,18,23,18,24,22,23,40
Monroe,4,17,16,12,18,16,21
Montgomery,4,5,4,7,6,9,4
Morgan,7,2,7,3,6,13,9
Murray,29,57,51,66,56,73,100
Oconee,19,11,10,7,10,9,14
Oglethorpe,8,8,0,6,8,5,13
Peach,4,17,10,12,18,20,27
Pickens,15,48,51,74,28,11,20
Pierce,13,19,33,26,21,20,31
Pike,7,11,8,7,4,6,11
Polk,40,82,72,55,77,73,82
Pulaski,5,4,4,7,6,10,5
Putnam,21,20,14,8,9,26,28
Quitman,2,2,5,2,6,0,4
Rabun,9,11,8,7,3,10,13
Randolph,9,3,6,3,8,8,6
Schley,4,4,3,3,6,0,5
Screven,14,13,10,11,11,8,18
Seminole,6,11,5,8,6,15,31
Stephens,14,23,18,26,17,17,45
Stewart,0,5,1,1,1,4,1
Sumter,22,34,32,31,36,30,36
Talbot,3,3,3,3,2,3,4
Taliaferro,1,2,1,1,1,1,4
Tattnall,7,19,18,9,24,25,22
Taylor,5,6,2,3,4,4,7
Telfair,4,4,13,13,11,5,6
Terrell,6,8,10,11,21,10,8
Thomas,21,51,44,25,49,50,108
Tift,26,32,39,45,43,53,65
Toombs,19,27,20,22,29,19,25
Towns,3,1,1,2,8,1,14
Treutlen,1,4,3,2,12,3,3
Turner,9,3,7,3,6,4,9
Twiggs,2,7,5,8,4,5,6
Union,4,5,2,8,11,10,16
Upson,19,24,13,22,25,19,25
Ware,18,42,52,53,45,30,40
Warren,2,3,5,4,6,3,11
Washington,3,13,4,11,16,15,26
Wayne,21,33,46,46,29,28,31
Webster,1,0,0,1,2,1,2
Wheeler,0,3,3,1,6,6,7
White,11,9,11,8,10,11,14
Wilcox,3,5,4,4,7,9,8
Wilkes,6,4,6,8,6,4,12
Wilkinson,5,5,6,8,15,6,10
Worth,11,13,18,10,9,14,19
