County,2018,2019,2020,2021,2022,2023,2024
Appling,24,16,26,22,18,16,18
Atkinson,9,11,11,3,8,11,15
Bacon,9,9,11,13,9,6,30
Baker,1,3,3,3,1,2,2
Baldwin,21,21,21,18,21,42,41
Banks,12,6,3,6,10,9,11
Ben Hill,14,15,14,14,22,16,19
Berrien,12,11,11,15,12,20,25
Bleckley,5,3,13,10,11,4,11
Brantley,60,57,72,61,23,14,10
Brooks,12,19,19,23,17,19,33
Bryan,25,43,45,29,40,35,72
Burke,21,11,17,9,14,13,39
Butts,25,20,14,9,15,12,33
Calhoun,6,10,8,5,4,6,8
Candler,8,9,10,12,6,4,5
Charlton,14,19,9,11,9,6,11
Chattahoochee,5,2,3,0,7,2,10
Chattooga,37,33,16,29,22,35,39
Clay,2,3,2,2,6,3,4
Clinch,6,8,10,8,2,7,6
Coffee,45,26,33,34,42,27,33
Colquitt,65,86,78,85,67,109,98
Cook,18,15,25,16,13,23,22
Crawford,5,2,8,5,9,6,8
Crisp,22,25,9,14,21,18,13
Dade,1,2,3,5,10,5,4
Dawson,7,10,5,10,5,6,13
Decatur,12,19,14,13,18,19,25
Dodge,21,23,15,12,17,5,13
Dooly,8,9,11,8,10,9,12
Early,8,9,12,12,14,15,8
Echols,9,12,15,9,14,8,10
Elbert,14,19,10,5,14,16,12
Emanuel,16,11,16,17,15,18,14
Evans,11,11,10,8,13,16,13
Fannin,8,13,11,29,9,6,8
Franklin,16,14,10,13,11,12,13
Gilmer,37,68,68,84,53,29,47
Glascock,2,0,2,1,1,0,3
Grady,29,37,21,24,29,35,36
Greene,19,11,9,14,15,3,8
Habersham,34,20,22,26,28,34,41
Hancock,3,7,8,2,4,10,9
Haralson,18,36,14,26,18,19,25
Harris,10,5,6,10,13,8,27
Hart,18,12,16,14,14,10,13
Heard,10,10,9,8,7,12,5
Irwin,3,7,6,4,6,6,6
Jasper,4,4,7,8,6,8,7
Jeff Davis,12,8,11,6,7,12,14
Jefferson,13,7,11,6,5,10,25
Jenkins,5,7,5,7,7,6,10
Johnson,3,2,4,4,5,6,5
Jones,7,5,8,10,9,8,12
Lamar,10,7,4,6,9,10,21
Lanier,11,8,10,11,9,18,9
Laurens,20,12,29,28,26,23,24
Lee,23,19,15,17,13,23,29
Lincoln,4,0,6,4,5,2,13
Long,25,17,23,29,22,17,39
Lumpkin,6,6,5,8,8,6,15
McDuffie,16,13,11,15,13,10,50
McIntosh,40,33,41,31,13,6,9
Macon,7,9,11,12,10,10,15
Madison,29,13,12,13,5,16,21
Marion,6,4,0,3,4,5,8
Meriwether,21,12,13,11,18,11,20
Miller,4,6,3,2,7,3,11
Mitchell,21,19,20,22,31,22,36
Monroe,11,19,13,8,12,16,18
Montgomery,6,6,6,6,6,8,4
Morgan,7,2,4,3,7,8,4
Murray,41,38,32,41,34,46,51
Oconee,25,6,7,6,9,8,10
Oglethorpe,17,9,2,4,10,7,5
Peach,21,16,12,23,25,28,32
Pickens,21,42,49,69,26,11,13
Pierce,23,19,31,24,19,12,15
Pike,8,9,4,5,4,8,12
Polk,78,68,65,48,77,62,81
Pulaski,5,1,5,7,3,14,9
Putnam,13,9,4,5,6,19,20
Quitman,3,0,3,2,2,0,1
Rabun,7,8,5,6,5,13,2
Randolph,9,6,6,3,7,6,3
Schley,2,3,1,1,3,0,2
Screven,8,13,10,8,7,10,19
Seminole,3,6,9,7,5,4,5
Stephens,19,22,11,17,15,16,21
Stewart,2,5,1,0,1,3,0
Sumter,21,19,20,29,29,30,31
Talbot,2,1,2,3,1,1,5
Taliaferro,1,0,2,1,0,1,3
Tattnall,17,19,22,11,19,17,14
Taylor,2,3,2,4,8,5,6
Telfair,4,8,12,8,13,9,8
Terrell,8,5,14,11,15,7,15
Thomas,32,39,39,26,46,63,57
Tift,30,31,44,28,30,58,51
Toombs,17,25,22,24,23,22,18
Towns,2,2,4,1,8,4,6
Treutlen,5,4,4,3,4,3,6
Turner,6,0,8,6,5,8,7
Twiggs,2,4,5,7,3,4,8
Union,4,6,4,8,14,8,12
Upson,14,18,11,12,17,14,20
Ware,40,35,47,55,32,26,33
Warren,5,3,4,5,5,2,11
Washington,10,6,7,9,4,10,16
Wayne,34,35,40,45,33,30,32
Webster,1,0,0,1,1,1,2
Wheeler,3,3,3,1,6,3,4
White,8,6,9,5,6,11,15
Wilcox,6,6,5,3,8,8,6
Wilkes,7,4,5,8,5,2,12
Wilkinson,4,5,4,6,8,4,9
Worth,14,12,15,13,15,16,16
